Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX003992,4,8,4948299531965,1,,,,4,0,0,Initial
RR ASRS 001,ASRSX006765,8,8,4963095903174,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX009648,5,8,4902505492525,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX009648,2,8,4902505381003,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX006474,1,8,4902506269386,3,,,,7,0,0,Initial
RR ASRS 001,ASRSX009916,5,8,4901681504121,3,,,,51,0,0,Initial
RR ASRS 001,ASRSX006156,1,2,4901478195976,3,,,,5,0,0,Initial
RR ASRS 001,ASRSX011328,2,2,4904085180373,3,,,,28,0,0,Initial
RR ASRS 001,ASRSX004320,5,8,4905426706641,1,,,,17,0,0,Initial
RR ASRS 001,ASRSX011748,5,8,4975901810446,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX009702,6,8,4582529523841,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX006302,4,8,4550432111431,3,,,,3,0,0,Initial
RR ASRS 001,ASRSX005238,8,8,4901473037851,3,,,,92,0,0,Initial
RR ASRS 001,ASRSX004749,3,4,4952270205998,3,,,,45,0,0,Initial
RR ASRS 001,ASRSX005221,5,8,4901681130153,3,,,,151,0,0,Initial
RR ASRS 001,ASRSX005238,2,8,4902505523878,3,,,,16,0,0,Initial
RR ASRS 001,ASRSX006302,8,8,4977524159605,3,,,,50,0,0,Initial
RR ASRS 001,ASRSX006100,4,4,4977524161615,3,,,,16,0,0,Initial
RR ASRS 001,ASRSX005079,2,4,4901991707120,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX005079,3,4,4990592631750,3,,,,5,0,0,Initial
RR ASRS 001,ASRSX005221,1,8,4902505593604,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX011983,5,8,4901681328437,3,,,,9,0,0,Initial
RR ASRS 001,ASRSX011983,4,8,4902505572029,3,,,,11,0,0,Initial
RR ASRS 001,ASRSX009620,3,8,4955414924441,3,,,,3,0,0,Initial
RR ASRS 001,ASRSX009620,7,8,4955414924038,3,,,,1,0,0,Initial
RR ASRS 001,ASRSX009702,5,8,4582529523834,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX006827,8,8,4901480277646,3,,,,25,0,0,Initial
RR ASRS 001,ASRSX005765,2,8,4900855111264,3,,,,18,0,0,Initial
RR ASRS 001,ASRSX009364,8,8,4902778805237,3,,,,78,0,0,Initial
RR ASRS 001,ASRSX005291,1,4,4977524160946,3,,,,19,0,0,Initial
RR ASRS 001,ASRSX011789,4,8,4901991062038,3,,,,30,0,0,Initial
RR ASRS 001,ASRSX009578,6,8,4902506228260,3,,,,12,0,0,Initial
RR ASRS 001,ASRSX005745,3,8,4522163035959,3,,,,6,0,0,Initial
RR ASRS 001,ASRSX005416,1,4,4905426703985,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX007320,1,2,4901478181092,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX004931,3,4,4963346174230,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX008588,2,2,4901480331683,1,,,,14,0,0,Initial
RR ASRS 001,ASRSX009647,1,8,4902506359285,3,,,,40,0,0,Initial
RR ASRS 001,ASRSX009124,2,8,4902778978078,1,,,,70,0,0,Initial
RR ASRS 001,ASRSX003642,1,8,4902850470421,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX009176,2,8,4902778011034,3,,,,110,0,0,Initial
RR ASRS 001,ASRSX009794,2,8,4901681194605,3,,,,40,0,0,Initial
RR ASRS 001,ASRSX006834,4,8,4902505448577,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX003255,1,2,4903419325046,3,,,,25,0,0,Initial
RR ASRS 001,ASRSX006504,4,8,4906186070706,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX005986,1,2,4901478190285,3,,,,10,0,0,Initial
RR ASRS 001,ASRSX006060,1,2,4901470002982,3,,,,24,0,0,Initial
RR ASRS 001,ASRSX003389,4,8,4901681108138,3,,,,31,0,0,Initial
RR ASRS 001,ASRSX005116,1,4,4902778124130,1,,,,9,0,0,Initial
RR ASRS 001,ASRSX009111,7,8,4580298811954,3,,,,56,0,0,Initial
RR ASRS 001,ASRSX005275,1,4,4901165202901,1,,,,17,0,0,Initial
RR ASRS 001,ASRSX007524,3,8,4901681194650,3,,,,36,0,0,Initial
RR ASRS 001,ASRSX006419,7,8,4902506358400,3,,,,14,0,0,Initial
RR ASRS 001,ASRSX005753,2,8,4901881252358,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX011463,6,8,4905260658632,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX003609,4,4,4560103145702,1,,,,33,0,0,Initial
RR ASRS 001,ASRSX005146,4,4,4901478019104,1,,,,20,0,0,Initial
RR ASRS 001,ASRSX005146,2,4,4901478154690,1,,,,6,0,0,Initial
RR ASRS 001,ASRSX009471,4,8,4901681645947,3,,,,6,0,0,Initial
RR ASRS 001,ASRSX009667,2,8,4977114211270,3,,,,38,0,0,Initial
RR ASRS 001,ASRSX005146,3,4,4901478450242,1,,,,30,0,0,Initial
RR ASRS 001,ASRSX004931,4,4,4963346174254,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX011649,1,1,4902506418296,3,,,,200,0,0,Initial
RR ASRS 001,ASRSX010480,3,8,4974052014109,3,,,,18,0,0,Initial
RR ASRS 001,ASRSX003007,1,8,4901991904116,3,,,,41,0,0,Initial
RR ASRS 001,ASRSX009124,8,8,4902778319321,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX009100,2,8,4901681256143,3,,,,32,0,0,Initial
RR ASRS 001,ASRSX005416,4,4,4905426705941,1,,,,4,0,0,Initial
RR ASRS 001,ASRSX006567,4,8,4902505576348,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX005467,5,8,4902778717790,1,,,,15,0,0,Initial
RR ASRS 001,ASRSX010976,1,1,4901478186776,3,,,,14,0,0,Initial
RR ASRS 001,ASRSX006570,8,8,4902506254467,3,,,,32,0,0,Initial
RR ASRS 001,ASRSX003257,1,2,4977564613280,3,,,,21,0,0,Initial
